Cod. Cliente;Loja;Município;UF;Zona
504173;1;LIMEIRA;SP;SP2210
504174;1;SAO PAULO;SP;SP1121
504175;1;BAURU;SP;SP2207
504184;1;COTIA;SP;SP1108
504197;1;SAO PAULO;SP;SP1124
504210;1;HORTOLANDIA;SP;SP2214
504224;1;MIRANTE DO PARANAPANEMA;SP;SP2209
504258;1;TABOAO DA SERRA;SP;SP1123
504262;1;SAO JOSE DO RIO PRETO;SP;SP2206
504264;1;JACAREI;SP;SP2219
504268;1;BAURU;SP;SP2207
504291;1;CARAPICUIBA;SP;SP1108
504298;1;MOGI DAS CRUZES;SP;SP2216
504300;1;NUPORANGA;SP;SP2212
504302;1;SAO PEDRO;SP;SP2217
504312;1;SOROCABA;SP;SP2204
504314;1;CARAPICUIBA;SP;SP1108
504315;1;NOVA ALIANCA;SP;SP2206
504317;1;SAO PAULO;SP;SP1101
504341;1;ITAPECERICA DA SERRA;SP;SP1123
504346;1;NATIVIDADE DA SERRA;SP;SP2219
504352;1;SAO PAULO;SP;SP1112
504355;1;SAO JOSE DO RIO PRETO;SP;SP2206
504366;1;PRAIA GRANDE;SP;SP1104
504367;1;SAO PAULO;SP;SP1112
504374;1;DIADEMA;SP;SP1103
504375;1;CAIEIRAS;SP;SP1119
504380;1;SAO PAULO;SP;SP1105
